Inmobiliaria;Código;Fecha Scraping;Título;Precio;Dirección;URL;URL Imagen
BILCIC;ZP-M-51582495;2025-02-14 01:40:46;Casa en Venta en Valentin Alsina, Lanús;USD70.000;Farrel 1400;https://www.bilcic.com/p/6682457-Casa-en-Venta-en-Valentin-Alsina-Farrel-1400;https://static.tokkobroker.com/pictures/6682457_28473303718706091318714376609055884938723720131605670040797294236476351804146.jpg
BILCIC;ZP-M-54059565;2025-02-14 01:40:46;Casa en Venta en Lanús Oeste, Lanús;USD59.000;Jujuy 1700;https://www.bilcic.com/p/6682465-Casa-en-Venta-en-Lan%C3%BAs-Oeste-Jujuy-1700;https://static.tokkobroker.com/pictures/6682465_49756066175497597721658719186547374044501770139433937142417245510455144348935.jpg
BILCIC;ZP-M-51690370;2025-02-14 01:40:46;Casa en Venta en Lanús Oeste, Lanús;USD80.000;Hnos. Ros 3500;https://www.bilcic.com/p/6682472-Casa-en-Venta-en-Lan%C3%BAs-Oeste-Hnos.-Ros-3500;https://static.tokkobroker.com/pictures/6682472_79888185498499577630040291029585635086398418695709474972558337167702240027964.jpg
BILCIC;231-1551::ZP-M-43465195;2025-02-14 01:40:46;Casa en Venta en Lanús Oeste, Lanús;USD65.000;Moreno 2400;https://www.bilcic.com/p/6682474-Casa-en-Venta-en-Lan%C3%BAs-Oeste-Moreno-2400;https://static.tokkobroker.com/pictures/6682474_113055260414084666525846663629199386192572903198578063449412763964640569902699.jpg
BILCIC;231-1093::ZP-M-42833601;2025-02-14 01:40:46;Casa en Venta en Remedios De Escalada, Lanús;USD65.000;Lituania 2200;https://www.bilcic.com/p/6682477-Casa-en-Venta-en-Remedios-De-Escalada-Lituania-2200;https://static.tokkobroker.com/pictures/6682477_53598033958171778375954941415358112097043702011825093952299732306667194982559.jpg
BILCIC;231-1746::ZP-M-45409067;2025-02-14 01:40:46;Casa en Venta en Lanús Oeste, Lanús;USD42.000;Roberto Arlt 2800;https://www.bilcic.com/p/6682496-Casa-en-Venta-en-Lan%C3%BAs-Oeste-Roberto-Arlt-2800;https://static.tokkobroker.com/pictures/6682496_7339438899136701470601292377446911059181782519926486732875351442286514205913.jpg
BILCIC;ZP-M-50347207;2025-02-14 01:40:46;Casa en Venta en Lanús Oeste, Lanús;USD75.000;Murature 3100;https://www.bilcic.com/p/6682513-Casa-en-Venta-en-Lan%C3%BAs-Oeste-Murature-3100;https://static.tokkobroker.com/pictures/6682513_46179260614931084268350251316507377948795893045430888438107358166318730599416.jpg
Reyes Propiedades;RLA6133816;2025-02-14 01:40:56;Casa en Venta en Lanús Oeste, Lanús;USD57.000;NOYA  1287;https://www.reyespropiedades.com/p/6133816-Casa-en-Venta-en-Lan%C3%BAs-Oeste-NOYA--al-1200;https://static.tokkobroker.com/water_pics/10460286842123813988502425517069103161673579461712046892541539956464081532271.jpg
Reyes Propiedades;RHO3730956;2025-02-14 01:40:56;Casa en Venta en Remedios De Escalada, Lanús;USD75.000;GUARRACINO (EX PERGAMINO)2890;https://www.reyespropiedades.com/p/3730956-Casa-en-Venta-en-Remedios-De-Escalada-GUARRACINO-(EX-PERGAMINO)2890;https://static.tokkobroker.com/water_pics/84333479239943893134596382941525084345682782205934677381745286681594886113310.jpg
Gomez Lama;ZP-M-49332807;2025-02-14 01:41:05;Casa en Venta en Lanús Este, Lanús;USD79.900;Roma 4162;https://www.gomezlama.com.ar/p/4777429-Casa-en-Venta-en-Lan%C3%BAs-Este-Roma-4162;https://static.tokkobroker.com/pictures/4777429_43451225319731165793449401259999343496297371394829960576527325750145930387447.jpg
Gomez Lama;GHO6076923;2025-02-14 01:41:05;Casa en Venta en Lanús Oeste, Lanús;USD59.500;Manuel Maza al 1500;https://www.gomezlama.com.ar/p/6076923-Casa-en-Venta-en-Lan%C3%BAs-Oeste-Manuel-Maza-al-1500;https://static.tokkobroker.com/pictures/32136622766901871003768751241771079484916238812623332038222131301330088994079.jpg
Gomez Lama;GHO6296811;2025-02-14 01:41:05;Casa en Venta en Lanús Este, Lanús;USD75.000;Fray M Esquiu al 2900;https://www.gomezlama.com.ar/p/6296811-Casa-en-Venta-en-Lan%C3%BAs-Este-Fray-M-Esquiu-al-2900;https://static.tokkobroker.com/pictures/6296811_31882970113242703352156134730412718359949596629046736726982510701057222717554.jpg
Gomez Lama;ZP-M-50795474;2025-02-14 01:41:05;Casa en Venta en Lanús Oeste, Lanús;USD75.000;Rincon 2568;https://www.gomezlama.com.ar/p/4777403-Casa-en-Venta-en-Lan%C3%BAs-Oeste-Rincon-2568;https://static.tokkobroker.com/pictures/109622846384313057020196372628149733934861202547869085582890401788307381966306.jpg
Gomez Lama;GHO5742232;2025-02-14 01:41:05;Casa en Venta en Lanús Este, Lanús;USD65.000;Guarracino al 2600;https://www.gomezlama.com.ar/p/5742232-Casa-en-Venta-en-Lan%C3%BAs-Este-Guarracino-al-2600;https://static.tokkobroker.com/pictures/84284254621114269072701035019145935291053923526020548966270795130199486130510.jpg
